code,sector,date,Ra
ALU.AX,Information Technology,2019-09-30,-0.08855370157012499
ALU.AX,Information Technology,2019-10-31,-0.03508244117911474
ALU.AX,Information Technology,2019-11-29,0.11404585985779003
ALU.AX,Information Technology,2019-12-31,-0.031520100353323643
ALU.AX,Information Technology,2020-01-31,0.14717748428566657
ALU.AX,Information Technology,2020-02-28,-0.22171502579256697
ALU.AX,Information Technology,2020-03-31,-0.07175321661536416
ALU.AX,Information Technology,2020-04-17,0.1315144456103532
AWC.AX,Materials,2019-04-30,-0.05084760997357396
AWC.AX,Materials,2019-05-31,0.06696449709745544
AWC.AX,Materials,2019-06-28,-0.025104676783388458
AWC.AX,Materials,2019-07-31,0.004291706781925475
AWC.AX,Materials,2019-08-30,-0.04374625774457064
AWC.AX,Materials,2019-09-30,0.09216579158547455
AWC.AX,Materials,2019-10-31,-0.042194264961686656
AWC.AX,Materials,2019-11-29,0.017621311052004485
AWC.AX,Materials,2019-12-31,-0.004328933008403646
AWC.AX,Materials,2020-01-31,-0.05217394415358545
AWC.AX,Materials,2020-02-28,-0.08465998657186768
AWC.AX,Materials,2020-03-31,-0.24742268041237114
AWC.AX,Materials,2020-04-17,0.07876712328767121
AMA.AX,Industrials,2019-04-30,-0.017097766446335427
AMA.AX,Industrials,2019-05-31,0.10435415197579245
AMA.AX,Industrials,2019-06-28,0.12598092981113274
AMA.AX,Industrials,2019-07-31,0.017484934515840767
AMA.AX,Industrials,2019-08-30,-0.05154634084051357
AMA.AX,Industrials,2019-09-30,-0.10502916216334834
AMA.AX,Industrials,2019-10-31,0.14280490034741278
AMA.AX,Industrials,2019-11-29,-0.09818181818181815
AMA.AX,Industrials,2019-12-31,-0.2782258064516129
AMA.AX,Industrials,2020-01-31,0.016759776536312776
AMA.AX,Industrials,2020-02-28,-0.4285714285714286
AMA.AX,Industrials,2020-03-31,-0.46153846153846145
AMA.AX,Industrials,2020-04-17,0.4285714285714286
AMC.AX,Materials,2019-04-30,0.042498366779699204
AMC.AX,Materials,2019-05-31,0.028072247893681235
AMC.AX,Materials,2019-06-28,-0.017597010802602897
AMC.AX,Materials,2019-07-31,-0.04076592073252305
AMC.AX,Materials,2019-08-30,-0.06889894641924066
AMC.AX,Materials,2019-09-30,-0.0021015729190478893
AMC.AX,Materials,2019-10-31,-0.022456111978297444
AMC.AX,Materials,2019-11-29,0.10696155817506892
AMC.AX,Materials,2019-12-31,0.020983624269109935
AMC.AX,Materials,2020-01-31,0.020552361242945016
AMC.AX,Materials,2020-02-28,-0.09251102247499587
AMC.AX,Materials,2020-03-31,-0.08479442791405079
AMC.AX,Materials,2020-04-17,0.04831288343558282
AMP.AX,Financials,2019-04-30,-0.004385964912280604
AMP.AX,Financials,2019-05-31,-0.04405286343612336
AMP.AX,Financials,2019-06-28,-0.02304147465437778
