S&P/ASX 300 Index (1 April 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group,Real Estate,"1,529,190,000",0.1,,"1,529,729,093,000",
AX1,Accent Group Ltd,Consumer Discretionary,"425,601,000",0.03,,,
ABC,Adelaide Brighton Ltd,Materials,"1,349,070,000",0.09,,Sector Breakdown,
APT,Afterpay Ltd,Information Technology,"5,001,250,000",0.33,,Consumer Discretionary,6.34
AGL,AGL Energy Ltd,Utilities,"10,865,100,000",0.71,,Consumer Staples,6.96
AQG,Alacer Gold Corp,Materials,"337,112,000",0.02,,Energy,3.82
ALQ,Als Ltd,Industrials,"2,682,290,000",0.18,,Financials,26.07
ALU,Altium Ltd,Information Technology,"3,744,310,000",0.24,,Health Care,13.84
AWC,Alumina Ltd,Materials,"4,204,570,000",0.27,,Industrials,8.16
AMA,AMA Group Ltd,Industrials,"204,823,000",0.01,,Information Technology,3.18
AYS,Amaysim Australia Ltd,,"91,484,200",0.01,,Materials,18.11
AMC,Amcor Plc,Materials,"13,198,700,000",0.86,,Real Estate,6.56
AMP,AMP Ltd,Financials,"4,587,860,000",0.3,,Telecommunication Services,0
ANN,Ansell Ltd,Health Care,"3,503,360,000",0.23,,Utilities,2.16
APE,AP Eagers Ltd,Consumer Discretionary,"778,507,000",0.05,,,
APA,APA Group,Utilities,"12,105,700,000",0.79,,,
ADI,Apn Industria REIT,Real Estate,"407,119,000",0.03,,,
APX,Appen Ltd,Information Technology,"2,395,270,000",0.16,,,
ARB,ARB Corporation Ltd,Consumer Discretionary,"1,140,780,000",0.07,,,
ALG,Ardent Leisure Group Ltd,Consumer Discretionary,"100,738,000",0.01,,,
ARF,Arena REIT,Real Estate,"510,131,000",0.03,,,
ALL,Aristocrat Leisure Ltd,Consumer Discretionary,"13,632,900,000",0.89,,,
AHY,Asaleo Care Ltd,Consumer Staples,"548,554,000",0.04,,,
ASX,ASX Ltd,Financials,"14,924,300,000",0.98,,,
ALX,Atlas Arteria,Industrials,"4,843,420,000",0.32,,,
AUB,AUB Group Ltd,Financials,"716,780,000",0.05,,,
AIA,Auckland International Airport Ltd,Industrials,"6,014,450,000",0.39,,,
AD8,Audinate Group Ltd,Information Technology,"256,990,000",0.02,,,
AMI,Aurelia Metals Ltd,Materials,"209,756,000",0.01,,,
AZJ,Aurizon Holdings Ltd,Industrials,"8,158,870,000",0.53,,,
AST,Ausnet Services Ltd,Utilities,"6,372,900,000",0.42,,,
ASB,Austal Ltd,Industrials,"1,037,530,000",0.07,,,
ANZ,Australia and New Zealand Banking Group Ltd,Financials,"48,101,600,000",3.14,,,
AAC,Australian Agricultural Company Ltd,Consumer Staples,"660,030,000",0.04,,,
API,Australian Pharmaceutical Industries Ltd,Health Care,"615,820,000",0.04,,,
AVN,Aventus Group,Real Estate,"827,320,000",0.05,,,
AVH,Avita Medical Ltd,Health Care,"1,087,520,000",0.07,,,
BBN,Baby Bunting Group Ltd,Consumer Discretionary,"285,744,000",0.02,,,
BOQ,Bank of Queensland Ltd,Financials,"2,271,680,000",0.15,,,
BAP,Bapcor Ltd,Consumer Discretionary,"1,168,680,000",0.08,,,
BPT,Beach Energy Ltd,Energy,"2,622,930,000",0.17,,,
BGA,Bega Cheese Ltd,Consumer Staples,"981,242,000",0.06,,,
BGL,Bellevue Gold Ltd,Materials,"235,966,000",0.02,,,
BEN,Bendigo and Adelaide Bank Ltd,Financials,"3,299,770,000",0.22,,,
BHP,BHP Group Ltd,Materials,"85,370,800,000",5.58,,,
BIN,Bingo Industries Ltd,Industrials,"1,242,240,000",0.08,,,
BKL,Blackmores Ltd,Consumer Staples,"1,268,990,000",0.08,,,
BSL,Bluescope Steel Ltd,Materials,"4,337,720,000",0.28,,,
BLD,Boral Ltd,Materials,"2,403,280,000",0.16,,,
BXB,Brambles Ltd,Industrials,"16,150,900,000",1.06,,,
BVS,Bravura Solutions Ltd,Information Technology,"943,163,000",0.06,,,
BRG,Breville Group Ltd,Consumer Discretionary,"2,200,850,000",0.14,,,
BKW,Brickworks Ltd,Materials,"1,980,680,000",0.13,,,
BUB,Bubs Australia Ltd,Consumer Staples,"322,170,000",0.02,,,
BWP,BWP Trust,Real Estate,"2,151,990,000",0.14,,,
BWX,BWX Ltd,Consumer Staples,"372,750,000",0.02,,,
CTX,Caltex Australia Ltd,Energy,"5,573,460,000",0.36,,,
CDD,Cardno Ltd,Industrials,"109,519,000",0.01,,,
CVN,Carnarvon Petroleum Ltd,Energy,"226,835,000",0.01,,,
CAR,Carsales.com Ltd,Communication Services,"2,881,900,000",0.19,,,
CWP,Cedar Woods Properties Ltd,Real Estate,"334,663,000",0.02,,,
CNI,Centuria Capital Group,Financials,"809,070,000",0.05,,,
CIP,Centuria Industrial REIT,Real Estate,"903,436,000",0.06,,,
COF,Centuria Office REIT,Real Estate,"846,390,000",0.06,,,
CGF,Challenger Ltd,Financials,"2,449,200,000",0.16,,,
CIA,Champion Iron Ltd,Materials,"706,210,000",0.05,,,
CHC,Charter Hall Group,Real Estate,"3,195,230,000",0.21,,,
CLW,Charter Hall Long Wale REIT,Real Estate,"2,142,020,000",0.14,,,
CQR,Charter Hall Retail REIT,Real Estate,"1,449,450,000",0.09,,,
CQE,Charter Hall Social Infrastructure REIT,Real Estate,"563,065,000",0.04,,,
CNU,Chorus Ltd,,"2,932,920,000",0.19,,,
CIM,Cimic Group Ltd,Industrials,"7,526,650,000",0.49,,,
CWY,Cleanaway Waste Management Ltd,Industrials,"3,477,150,000",0.23,,,
CUV,Clinuvel Pharmaceuticals Ltd,Health Care,"944,232,000",0.06,,,
CCL,Coca-Cola Amatil Ltd,Consumer Staples,"6,400,160,000",0.42,,,
COH,Cochlear Ltd,Health Care,"12,018,500,000",0.79,,,
CDA,Codan Ltd,Information Technology,"973,761,000",0.06,,,
COL,Coles Group Ltd,Consumer Staples,"20,222,400,000",1.32,,,
CKF,Collins Foods Ltd,Consumer Discretionary,"631,870,000",0.04,,,
CBA,Commonwealth Bank of Australia,Financials,"109,436,000,000",7.15,,,
CPU,Computershare Ltd,Information Technology,"5,251,940,000",0.34,,,
COE,Cooper Energy Ltd,Energy,"691,325,000",0.05,,,
CTD,Corporate Travel Management Ltd,Consumer Discretionary,"950,488,000",0.06,,,
CGC,Costa Group Holdings Ltd,Consumer Staples,"1,102,280,000",0.07,,,
CCP,Credit Corp Group Ltd,Financials,"751,829,000",0.05,,,
CMW,Cromwell Property Group,Real Estate,"2,090,300,000",0.14,,,
CWN,Crown Resorts Ltd,Consumer Discretionary,"5,146,400,000",0.34,,,
CSL,CSL Ltd,Health Care,"134,707,000,000",8.81,,,
CSR,CSR Ltd,Materials,"1,538,660,000",0.1,,,
DCN,Dacian Gold Ltd,Materials,"319,798,000",0.02,,,
DTL,Data#3 Ltd,Information Technology,"529,674,000",0.03,,,
DXS,Dexus,Real Estate,"9,966,290,000",0.65,,,
DHG,Domain Holdings Australia Ltd,Communication Services,"1,180,210,000",0.08,,,
DMP,Domino's PIZZA Enterprises Ltd,Consumer Discretionary,"4,406,780,000",0.29,,,
DOW,Downer Edi Ltd,Industrials,"1,772,210,000",0.12,,,
ECX,Eclipx Group Ltd,Financials,"217,353,000",0.01,,,
ELD,Elders Ltd,Consumer Staples,"1,170,660,000",0.08,,,
EHL,Emeco Holdings Ltd,Industrials,"311,426,000",0.02,,,
EML,EML Payments Ltd,Information Technology,"748,463,000",0.05,,,
EHE,Estia Health Ltd,Health Care,"349,860,000",0.02,,,
A2M,The a2 Milk Company Ltd,Consumer Staples,"12,229,700,000",0.8,,,
EVN,Evolution Mining Ltd,Materials,"6,510,820,000",0.43,,,
FAR,FAR Ltd,Energy,"99,788,300",0.01,,,
FBU,Fletcher Building Ltd,Materials,"2,670,590,000",0.17,,,
FLT,Flight Centre Travel Group Ltd,Consumer Discretionary,"1,002,290,000",0.07,,,
FMG,Fortescue Metals Group Ltd,Materials,"30,789,600,000",2.01,,,
FNP,Freedom Foods Group Ltd,Consumer Staples,"1,211,860,000",0.08,,,
FPH,Fisher & Paykel Healthcare Corporation Ltd,Health Care,"16,570,300,000",1.08,,,
FXL,Flexigroup Ltd,Financials,"295,793,000",0.02,,,
GDI,GDI Property Group,Real Estate,"507,077,000",0.03,,,
GEM,G8 Education Ltd,Consumer Discretionary,"384,248,000",0.03,,,
GMA,Genworth Mortgage Insurance Australia Ltd,Financials,"895,156,000",0.06,,,
GMG,Goodman Group,Real Estate,"22,123,800,000",1.45,,,
GNC,Graincorp Ltd,Consumer Staples,"707,164,000",0.05,,,
GOR,Gold Road Resources Ltd,Materials,"1,209,610,000",0.08,,,
GOZ,Growthpoint Properties Australia,Real Estate,"1,944,890,000",0.13,,,
GPT,GPT Group,Real Estate,"7,070,980,000",0.46,,,
GUD,G.U.D. Holdings Ltd,Consumer Discretionary,"812,390,000",0.05,,,
GWA,GWA Group Ltd,Industrials,"686,264,000",0.04,,,
GXY,Galaxy Resources Ltd,Materials,"327,583,000",0.02,,,
HLS,Healius Ltd,Health Care,"1,289,080,000",0.08,,,
HPI,Hotel Property Investments,Real Estate,"343,932,000",0.02,,,
HSN,Hansen Technologies Ltd,Information Technology,"574,124,000",0.04,,,
HT1,HT&E Ltd,Communication Services,"319,461,000",0.02,,,
HUB,HUB24 Ltd,Financials,"483,915,000",0.03,,,
HVN,Harvey Norman Holdings Ltd,Consumer Discretionary,"3,675,720,000",0.24,,,
IAG,Insurance Australia Group Ltd,Financials,"14,328,500,000",0.94,,,
IAP,Investec Australia Property Fund,Real Estate,"644,919,000",0.04,,,
IEL,Idp Education Ltd,Consumer Discretionary,"2,941,380,000",0.19,,,
IFL,IOOF Holdings Ltd,Financials,"1,284,940,000",0.08,,,
IFM,Infomedia Ltd,Information Technology,"453,921,000",0.03,,,
IFN,Infigen Energy,Utilities,"412,547,000",0.03,,,
IGL,Ive Group Ltd,Communication Services,"76,326,800",0,,,
IGO,IGO Ltd,Materials,"2,499,070,000",0.16,,,
ILU,Iluka Resources Ltd,Materials,"2,949,640,000",0.19,,,
IMD,IMDEX Ltd,Materials,"345,371,000",0.02,,,
IMF,IMF Bentham Ltd,Financials,"949,488,000",0.06,,,
INA,Ingenia Communities Group,Real Estate,"901,390,000",0.06,,,
ING,Inghams Group Ltd,Consumer Staples,"1,222,830,000",0.08,,,
INR,Ioneer Ltd,Materials,"134,391,000",0.01,,,
IPH,IPH Ltd,Industrials,"1,545,800,000",0.1,,,
IPL,Incitec Pivot Ltd,Materials,"3,259,150,000",0.21,,,
IRE,Iress Ltd,Information Technology,"1,833,120,000",0.12,,,
IRI,Integrated Research Ltd,Information Technology,"446,838,000",0.03,,,
ISX,Isignthis Ltd,Information Technology,"1,172,130,000",0.08,,,
ITG,Intega Group Ltd,Industrials,"82,374,300",0.01,,,
IVC,Invocare Ltd,Consumer Discretionary,"1,231,610,000",0.08,,,
JBH,JB Hi-Fi Ltd,Consumer Discretionary,"3,216,730,000",0.21,,,
JHC,Japara Healthcare Ltd,Health Care,"133,624,000",0.01,,,
JHG,Janus Henderson Group Plc,Financials,"1,079,440,000",0.07,,,
JHX,James Hardie Industries Plc,Materials,"8,207,040,000",0.54,,,
JIN,Jumbo Interactive Ltd,Consumer Discretionary,"587,408,000",0.04,,,
JMS,Jupiter Mines Ltd,Materials,"450,568,000",0.03,,,
KAR,Karoon Energy Ltd,Energy,"246,078,000",0.02,,,
KGN,Kogan.com Ltd,Consumer Discretionary,"507,170,000",0.03,,,
LIC,Lifestyle Communities Ltd,Real Estate,"636,680,000",0.04,,,
LLC,Lendlease Group,Real Estate,"5,817,370,000",0.38,,,
LNK,Link Administration Holdings Ltd,Information Technology,"1,712,960,000",0.11,,,
LOV,Lovisa Holdings Ltd,Consumer Discretionary,"530,851,000",0.03,,,
LYC,Lynas Corporation Ltd,Materials,"1,007,710,000",0.07,,,
MAH,Macmahon Holdings Ltd,Materials,"398,672,000",0.03,,,
MFG,Magellan Financial Group Ltd,Financials,"7,932,840,000",0.52,,,
MGR,Mirvac Group,Real Estate,"8,221,940,000",0.54,,,
MGX,Mount Gibson Iron Ltd,Materials,"764,070,000",0.05,,,
MIN,Mineral Resources Ltd,Materials,"2,631,690,000",0.17,,,
MLD,Maca Ltd,Materials,"171,525,000",0.01,,,
MMS,Mcmillan Shakespeare Ltd,Industrials,"550,180,000",0.04,,,
MND,Monadelphous Group Ltd,Industrials,"970,380,000",0.06,,,
MNY,MONEY3 Corporation Ltd,Financials,"226,725,000",0.01,,,
MP1,Megaport Ltd,Information Technology,"1,428,820,000",0.09,,,
MPL,Medibank Private Ltd,Financials,"7,325,650,000",0.48,,,
